Hotel_Name
Crowne Plaza Auckland
Four Points by Sheraton Auckland
Grand Mercure Auckland
Grand Millennium Auckland
Holiday Inn Auckland Airport
Jet Park Hotel Auckland Airport
M Social Auckland
Naumi Hotel Auckland Airport
Novotel Auckland Airport
Novotel/Ibis Ellerslie
Pullman Auckland
Ramada Federal Street
Rydges Auckland
Sebel Manukau
SO/ Auckland
Stamford Plaza Auckland
Sudima Auckland Airport
Waipuna Hotel and Conference Centre
Distinction Hamilton
Ibis Hamilton
Jet Park Hotel Hamilton
Rydges Rotorua
Ibis Rotorua
Sudima Rotorua
Bay Plaza Hotel Wellington
Grand Mercure Wellington
Chateau on the Park
Commodore Hotel Christchurch
Crowne Plaza Christchurch
Distinction Christchurch
Novotel Christchurch Airport
Sudima Christchurch Airport
